[19:43:30] server start http://127.0.0.1:8770 backend_ready=True
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/picture_2.png HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/picture_1.png HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/table_1.png HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/picture_4.png HTTP/1.1" 200 -
[19:57:50] 127.0.0.1 "GET /?layout=wide HTTP/1.1" 200 -
[19:57:50] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:57:50] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:57:50] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:57:50] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:57:50] 127.0.0.1 code 404, message File not found
[19:57:50] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:57:50] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:57:51] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /data/living_room.report.json HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/picture_1.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/mirror_1.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/chair_1.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/picture_2.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/picture_3.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/table_1.png HTTP/1.1" 200 -
[19:57:51] 127.0.0.1 "GET /assets/living_room/masks/picture_4.png HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /?layout=focus HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 code 404, message File not found
[19:57:52] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:57:52] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /data/living_room.report.json HTTP/1.1" 200 -
[19:57:52] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/picture_1.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/chair_1.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/picture_3.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/picture_2.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/mirror_1.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/table_1.png HTTP/1.1" 200 -
[19:57:53] 127.0.0.1 "GET /assets/living_room/masks/picture_4.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /?upload=1 HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 code 404, message File not found
[19:57:54] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:57:54] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /data/living_room.report.json HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/picture_1.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/mirror_1.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/chair_1.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/picture_2.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/picture_3.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/table_1.png HTTP/1.1" 200 -
[19:57:54] 127.0.0.1 "GET /assets/living_room/masks/picture_4.png HTTP/1.1" 200 -
[19:58:29] build job b1789819109506 queued (prompt='sofa. chair. table. picture. mirror.' intrinsics='auto')
[19:58:29] 127.0.0.1 "POST /api/build HTTP/1.1" 200 -
[19:58:32] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:35] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:38] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:41] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:44] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:47] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:50] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:53] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:56] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:58:59] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:02] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:05] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:08] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:11] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:14] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:17] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:20] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:23] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:26] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:29] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:32] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:35] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:38] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:41] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:44] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:48] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:51] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:54] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[19:59:57] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[20:00:00] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[20:00:03] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[20:00:06] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[20:00:09] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[20:00:12] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[20:00:15] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[20:00:16] build job b1789819109506 → done (upload_probe)
[20:00:18] 127.0.0.1 "GET /api/build/status?id=b1789819109506 HTTP/1.1" 200 -
[20:00:18] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[20:01:25] server start http://127.0.0.1:8770 backend_ready=True
[20:01:44] build job b1789819304476 queued (prompt='sofa. chair. table. picture. mirror.' intrinsics='auto')
[20:01:44] 127.0.0.1 "POST /api/build HTTP/1.1" 200 -
[20:01:44] build job b1789819304509 queued (prompt='sofa. chair. table. picture. mirror.' intrinsics='auto')
[20:01:44] 127.0.0.1 "POST /api/build HTTP/1.1" 200 -
[20:01:47] 127.0.0.1 "GET /api/build/status?id=b1789819304476 HTTP/1.1" 200 -
[20:01:47] 127.0.0.1 "GET /api/build/status?id=b1789819304509 HTTP/1.1" 200 -
[20:01:50] 127.0.0.1 "GET /api/build/status?id=b1789819304476 HTTP/1.1" 200 -
[20:01:50] 127.0.0.1 "GET /api/build/status?id=b1789819304509 HTTP/1.1" 200 -
[20:01:53] 127.0.0.1 "GET /api/build/status?id=b1789819304476 HTTP/1.1" 200 -
[20:01:53] 127.0.0.1 "GET /api/build/status?id=b1789819304509 HTTP/1.1" 200 -
[20:01:56] 127.0.0.1 "GET /api/build/status?id=b1789819304476 HTTP/1.1" 200 -
[20:01:56] 127.0.0.1 "GET /api/build/status?id=b1789819304509 HTTP/1.1" 200 -
[20:01:59] 127.0.0.1 "GET /api/build/status?id=b1789819304476 HTTP/1.1" 200 -
[20:01:59] 127.0.0.1 "GET /api/build/status?id=b1789819304509 HTTP/1.1" 200 -
